external_id,title,mark_and_model,first_registration_date,mileage,gearbox,fuel,engine_size,power,emission_class,co2_value,country_of_origin
4882005,"AUDI A4 2.0 TDi DPF","Audi A4",09/2009,167856,Automatic,Diesel,1968,136,Euro4,1492,Belgium
4882103,"FORD C-Max 1.0 EcoBoost Trend S-S","Ford C-Max",05/2013,184144,Manual,Petrol,998,101,Euro5,1172,Belgium
4882104,"AUDI A3 Sportback Audi A3 Sportback 1.6 TDI 85(116) kW(PS) 6-speed","Audi A3",01/2018,61620,"Manual gearbox",Diesel,1598,116,Euro6,1062,Belgium
4882105,"VOLVO V60 2.0 D3","Volvo V60",02/2019,144401,Manual,Diesel,1969,150,Euro6d-TEMP,1172,Belgium
4882106,"SKODA Fabia Combi COM AMB TS 81/1.0 M6F","Skoda Fabia",03/2020,34256,Manual,Petrol,999,110,Euro6d,1042,Belgium
4882158,"OPEL Mokka 1.4 Turbo 4x2 Enjoy","Opel Mokka",03/2015,151915,Manual,Petrol,1364,140,Euro5,1392,Belgium
4882160,"AUDI A3 1.4 TFSI Ambition S tronic","Audi A3",04/2014,165844,Automatic,Petrol,1395,140,Euro6,1102,Belgium
4882161,"VOLKSWAGEN Tiguan Tiguan Trendline 1.5 l TSI GPF 96 kW (130 PS) 6-speed","Volkswagen Tiguan",03/2019,77622,Manual,Petrol,1498,131,Euro6d,1282,Belgium
4882251,"VOLKSWAGEN Tiguan Tiguan Highline 1.5 l TSI GPF 110 kW (150 PS) 7-speed dual-clutch transmission DSG","Volkswagen Tiguan",01/2019,61919,Automatic,Petrol,1498,150,Euro6d,1382,Belgium
4882252,"SKODA Superb Combi COM CLASSIC 1,9 TDI 77KW 5V","Skoda Superb",04/2010,191193,Manual,Diesel,1896,105,Euro4,1532,Belgium
4882253,"VOLKSWAGEN T-Roc T-Roc Style 1.5 l TSI 110 kW (150 PS) 6-speed","Volkswagen T-Roc",07/2018,79747,Manual,Petrol,1498,150,Euro6,1212,Belgium
4882254,"AUDI A3 1,6 TDI 99GR 105CV/PK 5V","Audi A3",04/2010,245521,"Manual gearbox",Diesel,1598,105,Euro5,992,Belgium
4882321,"SEAT Arona 1.0 TSI STYLE 5T 85 DS8 AU7","Seat Arona",03/2018,80210,Automatic,Petrol,999,116,Euro6,1132,Belgium
4882322,"VOLKSWAGEN Tiguan Tiguan Highline 1.5 l TSI GPF 110 kW (150 PS) 7-speed dual-clutch transmission DSG","Volkswagen Tiguan",05/2019,118521,Automatic,Petrol,1498,150,Euro6d-TEMP,1382,Belgium
4882323,"VOLKSWAGEN Golf VII Golf Comfortline 1.0 l TSI GPF 85 kW (115 PS) 6-speed","Volkswagen Golf",03/2020,142111,Manual,Petrol,999,116,Euro5,1102,Belgium
4882324,"AUDI Q3 Sportback Audi Q3 Sportback S line 35 TFSI 110(150) kW(PS) S tronic","Audi Q3",08/2021,28051,Automatic,Petrol,1498,150,Euro6d,1342,Belgium
4882325,"CUPRA Born Born CUPRA 150/62 E1H","Cupra Born",06/2022,24073,"direct no gearbox",Electric,0,204,N/A,12,Belgium
4882342,"AUDI A6 Audi A6 Sedan sport 35 TDI 120(163) kW(PS) S tronic","Audi A6",03/2021,80636,Automatic,Diesel,1968,163,Euro6d,1162,Belgium
4882343,"OPEL Zafira Zafira 1.7 CDTi ecoFLEX Enjoy DPF","Opel Zafira",04/2011,408371,Manual,Diesel,1686,110,Euro5,1342,Belgium
4882344,"AUDI e-tron Sportback Audi e-tron Sportback S line 55 quattro 300 kW","Audi E-TRON",06/2020,56623,"direct no gearbox",Electric,0,408,N/A,12,Belgium
4882345,"VOLKSWAGEN Multivan T7 Multivan Life 1.5 l 100 kW TSI GPF 7-speed DSG wheelbase 3 124 mm, short overhang","Volkswagen LT",08/2022,34917,Automatic,Petrol,1498,136,Euro6d,1532,Belgium
4882362,"PEUGEOT Partner Partner 1.4i XR","Peugeot Partner",04/2007,102082,Manual,Petrol,1360,75,Euro4,1752,Belgium
4882363,"AUDI A4 Audi A4 Attraction Saloon 2.0 TDI 110(150) kW(PS) 6-speed","Audi A4",03/2015,264028,"Manual gearbox",Diesel,1968,150,Euro6,1142,Belgium
4882733,"VOLKSWAGEN Touran Touran Trendline BlueMotion Technology 1.6 l TDI 77 kW (105 PS) 6-speed","Volkswagen Touran",03/2012,223013,Manual,Diesel,1598,105,Euro5,1212,Belgium
4882734,"VOLKSWAGEN Golf Sportsvan Golf Sportsvan Comfortline TSI ACT 96 kW (130 PS) 7-speed dual-clutch transmission DSG","Volkswagen Golf Sportsvan",02/2018,153648,Automatic,Petrol,1498,131,Euro6,1162,Belgium
4883062,"OPEL Corsa Corsa 1.2i Enjoy","Opel Corsa",01/2012,97301,Manual,Petrol,1229,86,Euro5,1292,Belgium
4883063,"VOLKSWAGEN Multivan T6.1 Multivan 2.0 TDi SCR 4Motion Highline DSG","Volkswagen LT",06/2020,58369,Automatic,Diesel,1968,199,Euro6d,1892,Belgium
4883064,"AUDI A3 Sportback Sportback 1.9 TDi Ambition","Audi A3",01/2005,234146,"Manual gearbox",Diesel,1896,105,Euro4,1392,Belgium
4883065,"SKODA Karoq AMB TS 81/1.0 M6F","Skoda Karoq",01/2021,34899,Manual,Petrol,999,110,Euro6d,1192,Belgium
4883066,"SKODA Fabia AMBIENTE 1,2 HTP 44KW 60CV 5V","Skoda Fabia",03/2012,180658,Manual,Petrol,1198,60,Euro5,1282,Belgium
4883068,"SKODA Fabia AMB TS70/1.0 M5F","Skoda Fabia",09/2017,30777,Manual,Petrol,999,95,Euro6,1012,Belgium
4883069,"AUDI A4 Avant AV 2,0 TDIE 136 CV/PK 6V","Audi A4",03/2013,167613,"Manual gearbox",Diesel,1968,136,Euro5,1162,Belgium
4883070,"VOLKSWAGEN Passat CL TDI CR 105HP BMT 6V","Volkswagen Passat",03/2011,161882,Manual,Diesel,1598,105,Euro5,1142,Belgium
4883213,"HONDA Civic 1.8i Comfort","Honda Civic",05/2012,86056,Manual,Petrol,1798,141,Euro5,1372,Belgium
4883215,"OPEL Corsa Corsa 1.2i Enjoy","Opel Corsa",04/2011,131808,Manual,Petrol,1229,86,Euro5,1242,Belgium
4883217,"VOLKSWAGEN Polo Polo 1.2i 12v Base","Volkswagen Polo",03/2004,170139,Manual,Petrol,1198,65,Euro4,1422,Belgium
4892818,"Volkswagen 1.0 80 Lounge Business VOLKSWAGEN Polo / 2017 / 5P / Berline 1.0 80 Lounge Business","Volkswagen Polo",09/2020,38087,Manual,Petrol,999,80,Euro6,1252,France
4892817,"Peugeot Puretech 130 S&S Active Business 3008 Active Business 1.2 PureTech 130CV BVM6 E6","Peugeot 3008",02/2019,127006,Manual,Petrol,1199,131,Euro6,1242,France
4892816,"Peugeot &BLUEHDI 100 S&S ALLURE BUSINESS 208 Allure Business 1.6 HDi 100CV BVM5 E6","Peugeot 208",05/2018,86874,Manual,Diesel,1560,99,Euro6,792,France
4892815,"Peugeot BlueHDi 180 S&S EAT8 GT 5008 GT 2.0 HDi 180CV BVA8 E6d","Peugeot 5008",10/2020,66158,Automatic,Diesel,1997,177,Euro6,1662,France
4892814,"Audi 1.5 35 TFSI 150 S TRONIC DESIGN LUXE Q3 35 TFSI Design luxe 1.5 150CV BVA7 E6dT","Audi Q3",07/2019,24986,Automatic,Petrol,1498,150,Euro6,1302,France
4892813,"Renault Intens dCi 90 Captur Intens 1.5 dCi 90CV BVM5 E6","Renault Captur",09/2019,108432,Manual,Diesel,1461,90,Euro6,1112,France
4892812,"Citroen BlueHDi 130 S&S BVM6 Business C4 Grand Picasso/Spacetourer Business 1.5 BlueHDi 130CV BVM6 E6d","Citroen Grand C4 Picasso / SpaceTourer",02/2021,123663,Manual,Diesel,1499,131,Euro6,1282,France
4892811,"Peugeot BlueHDi 130 EAT8 S&S ACTIVE BUSINESS 308 SW Active Business 1.5 HDi 130CV BVA8 E6d","Peugeot 308",08/2020,94333,Automatic,Diesel,1499,131,Euro6,1252,France
4892810,"Nissan 1.5 DCI 115 DCT Business Edition NISSAN Qashqai / 2017 / 5P / Crossover 1.5 DCI 115 DCT Business Edition","Nissan Qashqai",09/2019,119687,Automatic,Diesel,1461,116,Euro6,1092,France
